xintercept	key	showSelected1
40.5	2 40.5	2
20.5	3 20.5	3
40.5	3 40.5	3
18.5	4 18.5	4
26.5	4 26.5	4
40.5	4 40.5	4
18.5	5 18.5	5
26.5	5 26.5	5
40.5	5 40.5	5
43.5	5 43.5	5
18.5	6 18.5	6
26.5	6 26.5	6
40.5	6 40.5	6
45.5	6 45.5	6
46.5	6 46.5	6
18.5	7 18.5	7
26.5	7 26.5	7
40.5	7 40.5	7
43.5	7 43.5	7
57.5	7 57.5	7
59.5	7 59.5	7
18.5	8 18.5	8
26.5	8 26.5	8
40.5	8 40.5	8
45.5	8 45.5	8
46.5	8 46.5	8
53.5	8 53.5	8
57.5	8 57.5	8
18.5	9 18.5	9
26.5	9 26.5	9
40.5	9 40.5	9
45.5	9 45.5	9
46.5	9 46.5	9
53.5	9 53.5	9
57.5	9 57.5	9
59.5	9 59.5	9
18.5	10 18.5	10
20.5	10 20.5	10
26.5	10 26.5	10
40.5	10 40.5	10
45.5	10 45.5	10
46.5	10 46.5	10
53.5	10 53.5	10
57.5	10 57.5	10
59.5	10 59.5	10
18.5	11 18.5	11
26.5	11 26.5	11
28.5	11 28.5	11
30.5	11 30.5	11
40.5	11 40.5	11
45.5	11 45.5	11
46.5	11 46.5	11
53.5	11 53.5	11
57.5	11 57.5	11
59.5	11 59.5	11
18.5	12 18.5	12
20.5	12 20.5	12
26.5	12 26.5	12
28.5	12 28.5	12
30.5	12 30.5	12
40.5	12 40.5	12
45.5	12 45.5	12
46.5	12 46.5	12
53.5	12 53.5	12
57.5	12 57.5	12
59.5	12 59.5	12
9.5	13 9.5	13
10.5	13 10.5	13
18.5	13 18.5	13
26.5	13 26.5	13
28.5	13 28.5	13
30.5	13 30.5	13
40.5	13 40.5	13
45.5	13 45.5	13
46.5	13 46.5	13
53.5	13 53.5	13
57.5	13 57.5	13
59.5	13 59.5	13
9.5	14 9.5	14
10.5	14 10.5	14
18.5	14 18.5	14
20.5	14 20.5	14
26.5	14 26.5	14
28.5	14 28.5	14
30.5	14 30.5	14
40.5	14 40.5	14
45.5	14 45.5	14
46.5	14 46.5	14
53.5	14 53.5	14
57.5	14 57.5	14
59.5	14 59.5	14
7.5	15 7.5	15
8.5	15 8.5	15
9.5	15 9.5	15
10.5	15 10.5	15
18.5	15 18.5	15
26.5	15 26.5	15
28.5	15 28.5	15
30.5	15 30.5	15
40.5	15 40.5	15
45.5	15 45.5	15
46.5	15 46.5	15
53.5	15 53.5	15
57.5	15 57.5	15
59.5	15 59.5	15
