y	x	label	group
0.5	1	0	-1
1.5	2	1	-1
2.5	3	2	-1
3.5	4	3	-1
4.5	5	4	-1
5.5	6	5	-1
6.5	7	6	-1
7.5	8	7	-1
8.5	9	8	-1
9.5	10	9	-1
10.5	11	10	-1
11.5	12	11	-1
12.5	13	12	-1
13.5	14	13	-1
14.5	15	14	-1
