x	xend	y	yend	key	showSelected1
0.5	60.5	10.7948370737974	10.7948370737974	1 0.5	1
0.5	40.5	12.386329201804	12.386329201804	2 0.5	2
40.5	60.5	7.61185281778433	7.61185281778433	2 40.5	2
0.5	20.5	9.66561912927817	9.66561912927817	3 0.5	3
20.5	40.5	15.1070392743298	15.1070392743298	3 20.5	3
40.5	60.5	7.61185281778433	7.61185281778433	3 40.5	3
0.5	18.5	9.4702295622798	9.4702295622798	4 0.5	4
18.5	26.5	12.9519024968403	12.9519024968403	4 18.5	4
26.5	40.5	15.8124154268857	15.8124154268857	4 26.5	4
40.5	60.5	7.61185281778433	7.61185281778433	4 40.5	4
0.5	18.5	9.4702295622798	9.4702295622798	5 0.5	5
18.5	26.5	12.9519024968403	12.9519024968403	5 18.5	5
26.5	40.5	15.8124154268857	15.8124154268857	5 26.5	5
40.5	43.5	9.44995239107285	9.44995239107285	5 40.5	5
43.5	60.5	7.28748230485106	7.28748230485106	5 43.5	5
0.5	18.5	9.4702295622798	9.4702295622798	6 0.5	6
18.5	26.5	12.9519024968403	12.9519024968403	6 18.5	6
26.5	40.5	15.8124154268857	15.8124154268857	6 26.5	6
40.5	45.5	8.691509037696	8.691509037696	6 40.5	6
45.5	46.5	3.46919785296439	3.46919785296439	6 45.5	6
46.5	60.5	7.52216523673158	7.52216523673158	6 46.5	6
0.5	18.5	9.4702295622798	9.4702295622798	7 0.5	7
18.5	26.5	12.9519024968403	12.9519024968403	7 18.5	7
26.5	40.5	15.8124154268857	15.8124154268857	7 26.5	7
40.5	43.5	9.44995239107285	9.44995239107285	7 40.5	7
43.5	57.5	6.9213060174395	6.9213060174395	7 43.5	7
57.5	59.5	10.2795996302343	10.2795996302343	7 57.5	7
59.5	60.5	6.42971567784639	6.42971567784639	7 59.5	7
0.5	18.5	9.4702295622798	9.4702295622798	8 0.5	8
18.5	26.5	12.9519024968403	12.9519024968403	8 18.5	8
26.5	40.5	15.8124154268857	15.8124154268857	8 26.5	8
40.5	45.5	8.691509037696	8.691509037696	8 40.5	8
45.5	46.5	3.46919785296439	3.46919785296439	8 45.5	8
46.5	53.5	7.94240872470074	7.94240872470074	8 46.5	8
53.5	57.5	5.68113432575549	5.68113432575549	8 53.5	8
57.5	60.5	8.9963049794383	8.9963049794383	8 57.5	8
0.5	18.5	9.4702295622798	9.4702295622798	9 0.5	9
18.5	26.5	12.9519024968403	12.9519024968403	9 18.5	9
26.5	40.5	15.8124154268857	15.8124154268857	9 26.5	9
40.5	45.5	8.691509037696	8.691509037696	9 40.5	9
45.5	46.5	3.46919785296439	3.46919785296439	9 45.5	9
46.5	53.5	7.94240872470074	7.94240872470074	9 46.5	9
53.5	57.5	5.68113432575549	5.68113432575549	9 53.5	9
57.5	59.5	10.2795996302343	10.2795996302343	9 57.5	9
59.5	60.5	6.42971567784639	6.42971567784639	9 59.5	9
0.5	18.5	9.4702295622798	9.4702295622798	10 0.5	10
18.5	20.5	11.4241252322636	11.4241252322636	10 18.5	10
20.5	26.5	13.4611615850326	13.4611615850326	10 20.5	10
26.5	40.5	15.8124154268857	15.8124154268857	10 26.5	10
40.5	45.5	8.691509037696	8.691509037696	10 40.5	10
45.5	46.5	3.46919785296439	3.46919785296439	10 45.5	10
46.5	53.5	7.94240872470074	7.94240872470074	10 46.5	10
53.5	57.5	5.68113432575549	5.68113432575549	10 53.5	10
57.5	59.5	10.2795996302343	10.2795996302343	10 57.5	10
59.5	60.5	6.42971567784639	6.42971567784639	10 59.5	10
0.5	18.5	9.4702295622798	9.4702295622798	11 0.5	11
18.5	26.5	12.9519024968403	12.9519024968403	11 18.5	11
26.5	28.5	17.1726829041756	17.1726829041756	11 26.5	11
28.5	30.5	13.7911392278141	13.7911392278141	11 28.5	11
30.5	40.5	15.9446171712421	15.9446171712421	11 30.5	11
40.5	45.5	8.691509037696	8.691509037696	11 40.5	11
45.5	46.5	3.46919785296439	3.46919785296439	11 45.5	11
46.5	53.5	7.94240872470074	7.94240872470074	11 46.5	11
53.5	57.5	5.68113432575549	5.68113432575549	11 53.5	11
57.5	59.5	10.2795996302343	10.2795996302343	11 57.5	11
59.5	60.5	6.42971567784639	6.42971567784639	11 59.5	11
0.5	18.5	9.4702295622798	9.4702295622798	12 0.5	12
18.5	20.5	11.4241252322636	11.4241252322636	12 18.5	12
20.5	26.5	13.4611615850326	13.4611615850326	12 20.5	12
26.5	28.5	17.1726829041756	17.1726829041756	12 26.5	12
28.5	30.5	13.7911392278141	13.7911392278141	12 28.5	12
30.5	40.5	15.9446171712421	15.9446171712421	12 30.5	12
40.5	45.5	8.691509037696	8.691509037696	12 40.5	12
45.5	46.5	3.46919785296439	3.46919785296439	12 45.5	12
46.5	53.5	7.94240872470074	7.94240872470074	12 46.5	12
53.5	57.5	5.68113432575549	5.68113432575549	12 53.5	12
57.5	59.5	10.2795996302343	10.2795996302343	12 57.5	12
59.5	60.5	6.42971567784639	6.42971567784639	12 59.5	12
0.5	9.5	9.56917210914785	9.56917210914785	13 0.5	13
9.5	10.5	12.5347374441798	12.5347374441798	13 9.5	13
10.5	18.5	8.97585571181574	8.97585571181574	13 10.5	13
18.5	26.5	12.9519024968403	12.9519024968403	13 18.5	13
26.5	28.5	17.1726829041756	17.1726829041756	13 26.5	13
28.5	30.5	13.7911392278141	13.7911392278141	13 28.5	13
30.5	40.5	15.9446171712421	15.9446171712421	13 30.5	13
40.5	45.5	8.691509037696	8.691509037696	13 40.5	13
45.5	46.5	3.46919785296439	3.46919785296439	13 45.5	13
46.5	53.5	7.94240872470074	7.94240872470074	13 46.5	13
53.5	57.5	5.68113432575549	5.68113432575549	13 53.5	13
57.5	59.5	10.2795996302343	10.2795996302343	13 57.5	13
59.5	60.5	6.42971567784639	6.42971567784639	13 59.5	13
0.5	9.5	9.56917210914785	9.56917210914785	14 0.5	14
9.5	10.5	12.5347374441798	12.5347374441798	14 9.5	14
10.5	18.5	8.97585571181574	8.97585571181574	14 10.5	14
18.5	20.5	11.4241252322636	11.4241252322636	14 18.5	14
20.5	26.5	13.4611615850326	13.4611615850326	14 20.5	14
26.5	28.5	17.1726829041756	17.1726829041756	14 26.5	14
28.5	30.5	13.7911392278141	13.7911392278141	14 28.5	14
30.5	40.5	15.9446171712421	15.9446171712421	14 30.5	14
40.5	45.5	8.691509037696	8.691509037696	14 40.5	14
45.5	46.5	3.46919785296439	3.46919785296439	14 45.5	14
46.5	53.5	7.94240872470074	7.94240872470074	14 46.5	14
53.5	57.5	5.68113432575549	5.68113432575549	14 53.5	14
57.5	59.5	10.2795996302343	10.2795996302343	14 57.5	14
59.5	60.5	6.42971567784639	6.42971567784639	14 59.5	14
0.5	7.5	9.47529191257944	9.47529191257944	15 0.5	15
7.5	8.5	12.2332204254305	12.2332204254305	15 7.5	15
8.5	9.5	7.56228516884403	7.56228516884403	15 8.5	15
9.5	10.5	12.5347374441798	12.5347374441798	15 9.5	15
10.5	18.5	8.97585571181574	8.97585571181574	15 10.5	15
18.5	26.5	12.9519024968403	12.9519024968403	15 18.5	15
26.5	28.5	17.1726829041756	17.1726829041756	15 26.5	15
28.5	30.5	13.7911392278141	13.7911392278141	15 28.5	15
30.5	40.5	15.9446171712421	15.9446171712421	15 30.5	15
40.5	45.5	8.691509037696	8.691509037696	15 40.5	15
45.5	46.5	3.46919785296439	3.46919785296439	15 45.5	15
46.5	53.5	7.94240872470074	7.94240872470074	15 46.5	15
53.5	57.5	5.68113432575549	5.68113432575549	15 53.5	15
57.5	59.5	10.2795996302343	10.2795996302343	15 57.5	15
59.5	60.5	6.42971567784639	6.42971567784639	15 59.5	15
